Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.1789E-36,-3.269E-20,0.0049846,0,0,0,0.17174,9.3584E-05,-3.2901E-39,-8.13E-40,9.3584E-05,2.3703E-23,0.00018431,0,0,0,0,0,0,package://arm_description/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://arm_description/meshes/base_link.STL,,arm_base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link,2.844E-09,-0.0018983,0.088853,0,0,0,0.96068,0.0026125,-5.235E-10,-2.5725E-10,0.002564,0.00011151,0.0003434,0,0,0,0,0,0,package://arm_description/meshes/shoulder_link.STL,0.31765,1,0.91765,1,0,0,0,0,0,0,package://arm_description/meshes/shoulder_link.STL,,arm_1-1,1,基准轴1,base_joint,revolute,0,0,0.01,0,0,0,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
arm_link_1,3.99321170061077E-07,0.00243945434428174,0.10000016404977,0,0,0,1.49514311129629,0.0092672086833684,-3.45316524239455E-08,2.128280625616E-08,0.00917221220256816,-8.41134008902218E-09,0.000552274337038071,0,0,0,0,0,0,package://arm_description/meshes/arm_link_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://arm_description/meshes/arm_link_1.STL,,arm_2-1,2,基准轴2,shoulder_joint,revolute,0,-0.08,0.15,0,0,0,shoulder_link,0,1,0,0,0,-1.57,1.57,,,,,,,,
arm_link_2,1.84935938307083E-07,-0.00142742297622724,0.0811160068194484,0,0,0,1.27771981813338,0.00602979199459265,1.99665710014809E-09,3.61991807814648E-09,0.00598043834668597,-0.000147930160932861,0.000443651831504686,0,0,0,0,0,0,package://arm_description/meshes/arm_link_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://arm_description/meshes/arm_link_2.STL,,arm_3-1,3,基准轴3,arm_joint_12,revolute,0,0.08,0.2,0,0,0,arm_link_1,0,1,0,0,0,-1.57,1.57,,,,,,,,
wrist_link_1,0.00484427832761932,-1.19442283489963E-08,0.0299999925216045,0,0,0,0.376466363968247,0.00015732940102775,2.42567535480483E-10,9.20593423415752E-11,0.00020045101820395,1.04465083118944E-10,0.00015578083797655,0,0,0,0,0,0,package://arm_description/meshes/wrist_link_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://arm_description/meshes/wrist_link_1.STL,,arm_5-1,4,基准轴4,arm_wrist_joint,revolute,0,0,0.2,0,0,0,arm_link_2,0,0,1,0,0,-1.57,1.57,,,,,,,,
wrist_link_2,-0.025,0.00476010124384936,-5.3487070328373E-10,0,0,0,0.213833773430547,5.90471340191189E-05,-3.62696963816373E-20,5.85438282709314E-12,6.19132185170091E-05,1.83189050496876E-12,7.58889080283275E-05,0,0,0,0,0,0,package://arm_description/meshes/wrist_link_2.STL,0.176470588235294,1,0.529411764705882,1,0,0,0,0,0,0,package://arm_description/meshes/wrist_link_2.STL,,零件5-1,5,基准轴5,wrist_joint_12,revolute,0.09,0,0.03,0,0,0,wrist_link_1,1,0,0,0,0,-1.57,1.57,,,,,,,,
wrist_link_3,0.0379528150536633,-0.00306208343475713,1.84945643244561E-08,0,0,0,0.332413101297219,0.000271281133244879,-1.31842072075757E-05,-4.53971642475216E-12,0.000181807242336193,-7.12639945244701E-12,0.000374581320728992,0,0,0,0,0,0,package://arm_description/meshes/wrist_link_3.STL,1,0.270588235294118,0.733333333333333,1,0,0,0,0,0,0,package://arm_description/meshes/wrist_link_3.STL,,wrist-1,6,基准轴6,wrist_joint_23,revolute,-0.05,0.06,0,0,0,0,wrist_link_2,0,1,0,0,0,-1.57,1.57,,,,,,,,
camera_arm_link,0.00017826,0,0,0,0,0,0.0065484,6.6534E-07,-7.307E-23,8.7818E-23,3.9363E-07,3.4427E-18,3.9363E-07,0,0,0,0,0,0,package://arm_description/meshes/camera_arm_link.STL,1,1,1,1,0,0,0,0,0,0,package://arm_description/meshes/camera_arm_link.STL,,camera_arm-1,camera,Axis_camera_arm_joint,camera_arm_joint,fixed,0.0630000000000002,0,0,0,0,0,wrist_link_3,0,0,0,,,,,,,,,,,,
fork_link_L,0.0838063514804203,-2.86229373536173E-17,-1.11022302462516E-16,0,0,0,0.1017684,9.16838352000001E-06,1.22288262139147E-19,-3.42386883861619E-20,0.000344761994950531,6.80000137608049E-22,0.000350846390950531,0,0,0,0,0,0,package://arm_description/meshes/fork_link_L.STL,0.941176470588235,0.929411764705882,0,1,0,0,0,0,0,0,package://arm_description/meshes/fork_link_L.STL,,thinger-2,L,Axis_fork_joint_L,fork_joint_L,fixed,0.0645000000000001,-0.0544327264438395,0,0,0,0,wrist_link_3,0,0,0,,,,,,,,,,,,
fork_link_R,0.083806,-8.3267E-17,1.1102E-16,0,0,0,0.10177,9.1684E-06,3.1477E-19,-6.1321E-19,0.00034476,-1.8194E-21,0.00035085,0,0,0,0,0,0,package://arm_description/meshes/fork_link_R.STL,0.94118,0.92941,0,1,0,0,0,0,0,0,package://arm_description/meshes/fork_link_R.STL,,thinger-1,R,Axis_fork_joint_R,fork_joint_R,fixed,0.0645000000000003,0.0544327264438282,0,0,0,0,wrist_link_3,0,0,0,,,,,,,,,,,,
